# Mach number (​),Pressure drag coefficient (​)
0.0058323,0.048485
0.0058382,0.048485
0.0058479,0.048485
0.0058711,0.048485
0.0059132,0.048485
0.0059726,0.048485
0.0060192,0.048485
0.0060826,0.048485
0.0061623,0.048485
0.0062577,0.048485
0.0063679,0.048485
0.0065545,0.048485
0.0067511,0.048485
0.0069566,0.048485
0.0071701,0.048485
0.0073906,0.048485
0.0075872,0.048485
0.0077908,0.048485
0.0080007,0.048485
0.0082164,0.048485
0.0084371,0.048485
0.0086642,0.048485
0.0088952,0.048485
0.0091298,0.048485
0.0093676,0.048485
0.0096082,0.048485
0.0098267,0.048485
0.010048,0.048485
0.01027,0.048485
0.010493,0.048485
0.010716,0.048485
0.010956,0.048485
0.011196,0.048485
0.011434,0.048485
0.01167,0.048485
0.011905,0.048485
0.012152,0.048485
0.012395,0.048485
0.012639,0.048485
0.012884,0.048485
0.01313,0.048485
0.013377,0.048485
0.013625,0.048485
0.013874,0.048485
0.014125,0.048485
0.014377,0.048485
0.014765,0.048485
0.015346,0.048485
0.016073,0.048485
0.017006,0.048485
0.018015,0.048485
0.019041,0.048485
0.019964,0.048485
0.020921,0.048485
0.021837,0.048485
0.022643,0.048485
0.02335,0.048485
0.024048,0.048485
0.024713,0.048485
0.025358,0.048485
0.025947,0.048485
0.02651,0.048485
0.027017,0.048485
0.027435,0.048485
0.027825,0.048485
0.028143,0.048485
0.028397,0.048485
0.028648,0.048485
0.028871,0.048485
0.029037,0.048485
0.029151,0.048485
0.029233,0.048485
0.029274,0.048485
0.029273,0.048485
0.029222,0.048485
0.029153,0.048485
0.02907,0.048485
0.028988,0.048485
0.0289,0.048485
0.028785,0.048485
0.028691,0.048485
0.028611,0.048485
0.028503,0.048485
0.028314,0.048485
0.028171,0.048485
0.02815,0.048485
0.028033,0.048485
0.027921,0.048485
0.027893,0.048485
0.027815,0.048485
0.027779,0.048485
0.027747,0.048485
0.027596,0.048485
0.027443,0.048485
0.027441,0.048485
0.027581,0.048485
0.027804,0.048485
0.028151,0.048485
0.028649,0.048485
0.028628,0.048485
0.028942,0.048485
0.02943,0.048485
0.029992,0.048485
0.030378,0.048485
0.030707,0.048485
0.031027,0.048485
0.031403,0.048485
0.031793,0.048485
0.032223,0.048485
0.032737,0.048485
0.033086,0.048485
0.033399,0.048485
0.033997,0.048485
0.034551,0.048485
0.035047,0.048485
0.035585,0.048485
0.036137,0.048485
0.036773,0.048485
0.037365,0.048485
0.037781,0.048485
0.038273,0.048485
0.038953,0.048485
0.039563,0.048485
0.040044,0.048485
0.04054,0.048485
0.041138,0.048485
0.041753,0.048485
0.042251,0.048485
0.042719,0.048485
0.043199,0.048485
0.04366,0.048485
0.044085,0.048485
0.044478,0.048485
0.044831,0.048485
0.045105,0.048485
0.045324,0.048485
0.04551,0.048485
0.045687,0.048485
0.045836,0.048485
0.045954,0.048485
0.046062,0.048485
0.046143,0.048485
0.046199,0.048485
0.046184,0.048485
0.046135,0.048485
0.046072,0.048485
0.045981,0.048485
0.045853,0.048485
0.04572,0.048485
0.045584,0.048485
0.045473,0.048485
0.045368,0.048485
0.045261,0.048485
0.045154,0.048485
0.045035,0.048485
0.044918,0.048485
0.044805,0.048485
0.044699,0.048485
0.04463,0.048485
0.044566,0.048485
0.044508,0.048485
0.044456,0.048485
0.044433,0.048485
0.044417,0.048485
0.044406,0.048485
0.044402,0.048485
0.044375,0.048485
0.044352,0.048485
0.044336,0.048485
0.044325,0.048485
0.044355,0.048485
0.044396,0.048485
0.04444,0.048485
0.044488,0.048485
0.044519,0.048485
0.044545,0.048485
0.044573,0.048485
0.044602,0.048485
0.044625,0.048485
0.044647,0.048485
0.044669,0.048485
0.044692,0.048485
0.044722,0.048485
0.044754,0.048485
0.044788,0.048485
0.044822,0.048485
0.044871,0.048485
0.044921,0.048485
0.044971,0.048485
0.045017,0.048485
0.045059,0.048485
0.045099,0.048485
0.045137,0.048485
0.045186,0.048485
0.045231,0.048485
0.04527,0.048485
0.045304,0.048485
0.045333,0.048485
0.045357,0.048485
0.045375,0.048485
0.045389,0.048485
0.045369,0.048485
0.045346,0.048485
0.04532,0.048485
0.045291,0.048485
0.045264,0.048485
0.045238,0.048485
0.045209,0.048485
0.045178,0.048485
0.045145,0.048485
0.045094,0.048485
0.045037,0.048485
0.04498,0.048485
0.044923,0.048485
0.044868,0.048485
0.044843,0.048485
0.044818,0.048485
0.044792,0.048485
0.044766,0.048485
0.044727,0.048485
0.044667,0.048485
0.044608,0.048485
0.044549,0.048485
0.044492,0.048485
0.044462,0.048485
0.044446,0.048485
0.044431,0.048485
0.044418,0.048485
0.044405,0.048485
0.044351,0.048485
0.044299,0.048485
0.044248,0.048485
0.044198,0.048485
0.044156,0.048485
0.044124,0.048485
0.044094,0.048485
0.044065,0.048485
0.044036,0.048485
0.044019,0.048485
0.044004,0.048485
0.04399,0.048485
0.043976,0.048485
0.043953,0.048485
0.043914,0.048485
0.043876,0.048485
0.043838,0.048485
0.0438,0.048485
0.043778,0.048485
0.043757,0.048485
0.043735,0.048485
0.043713,0.048485
0.043676,0.048485
0.043626,0.048485
0.043576,0.048485
0.043525,0.048485
